path,id,parent_id,level,object_id,object_type,object_key,query_status,query_time,query_type,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.likeCount,snippet.totalReplyCount
PRaNTFdCahk/Ugy3HuWEqb6oPMT0ROt4AaABAg,16033,15999,1,Ugy3HuWEqb6oPMT0ROt4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,You guys deserved to win we were crap. Really didn’t deserve those 3 points 😢,1,0
PRaNTFdCahk/Ugy1BlC7PQHn1EVTzoJ4AaABAg,16034,15999,1,Ugy1BlC7PQHn1EVTzoJ4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,"Can we say Wolves just needed a ""Harry Kane"" finish 🤣😭❓",0,0
PRaNTFdCahk/UgyBOr54Rs66rjGLESV4AaABAg,16035,15999,1,UgyBOr54Rs66rjGLESV4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,United paid referee,0,0
PRaNTFdCahk/UgySYp1myT7SOAGodXt4AaABAg,16036,15999,1,UgySYp1myT7SOAGodXt4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Ref mana berani bagi penalti kat oldtrepot 😂 nanti ayahanda alex marah,0,0
PRaNTFdCahk/UgwwL8TiVQdGff93ufV4AaABAg,16037,15999,1,UgwwL8TiVQdGff93ufV4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,No penalty ? VAR out !,0,0
PRaNTFdCahk/UgxJEJfOCo2rOLw5Iph4AaABAg,16038,15999,1,UgxJEJfOCo2rOLw5Iph4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,great boys lets show them who we are,0,0
PRaNTFdCahk/Ugxdeb39TFixgP3S1fl4AaABAg,16039,15999,1,Ugxdeb39TFixgP3S1fl4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Secara permainan wolves unggul telak!!! Ribuan peluang tersia siakan.,0,0
PRaNTFdCahk/Ugx2cpJhOEeeARtdeO94AaABAg,16040,15999,1,Ugx2cpJhOEeeARtdeO94AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,"Remember, this is always sa{i}d after a match between these two clubs. Wolves always had the better play, not the win.",0,0
PRaNTFdCahk/UgzRJVSbe1h3RWPPbWp4AaABAg,16041,15999,1,UgzRJVSbe1h3RWPPbWp4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,"Manchester not losing was the miracle of the decade. So many goals missed by Wolves. José Mourinho was right, what a disgrace of referees.",1,0
PRaNTFdCahk/UgwtOg2OuEGS9PUwDDx4AaABAg,16042,15999,1,UgwtOg2OuEGS9PUwDDx4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,That was a clear penalty,0,0
PRaNTFdCahk/Ugy76ZOMqZLXqeYUGxh4AaABAg,16043,15999,1,Ugy76ZOMqZLXqeYUGxh4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Scared to give a big decision at United fixed I don’t care,0,0
PRaNTFdCahk/Ugzs_Vu6kpoeYWQxyCd4AaABAg,16044,15999,1,Ugzs_Vu6kpoeYWQxyCd4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Arsenal sign Neto wow,0,0
PRaNTFdCahk/UgxlmgPDbx_u-LqVkJJ4AaABAg,16045,15999,1,UgxlmgPDbx_u-LqVkJJ4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Wolves are dynamite !!!!!,0,0
PRaNTFdCahk/UgyHKtvD_DetEWQF__54AaABAg,16046,15999,1,UgyHKtvD_DetEWQF__54AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Mount cant break that #7 curse he's going to flop,0,0
PRaNTFdCahk/UgzEwh_7gbNF30ZSvyV4AaABAg,16047,15999,1,UgzEwh_7gbNF30ZSvyV4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,And sometimes I moan about the Portuguese league... how the hell isn't that penalty??😂😂,0,0
PRaNTFdCahk/Ugy7rKmackF4gf1jbB14AaABAg,16048,15999,1,Ugy7rKmackF4gf1jbB14AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,"Great win for us, United forever",1,0
PRaNTFdCahk/UgyTnqeLhTfVVm2BtT14AaABAg,16049,15999,1,UgyTnqeLhTfVVm2BtT14AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,"Dude, how in the hell didnt wolves win this game by 5 goals at least, it was like men vs tiddlers😅",0,0
PRaNTFdCahk/UgyNULDF320_klG4pXN4AaABAg,16050,15999,1,UgyNULDF320_klG4pXN4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,"There is no rules for Manchester United. In England, VAR is useless as it does not help officials to make a right decision. If your mind is corrupt, even the most sophisticated and most advanced technology will be useless.",0,0
PRaNTFdCahk/UgySySq3yax6cdPGAYJ4AaABAg,16051,15999,1,UgySySq3yax6cdPGAYJ4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,As a united fan it was a penalty.,0,0
